ProjectID,Date,BudgetAmount,ActualCost,EarnedValue,PlannedValue,CPI,SPI,ScheduleVariance,StatusID
PJT001,2022-01-31,1061810,1646564,1152696,933966,0.7,1.23,218730,1
PJT001,2022-02-28,734028,554921,401122,704559,0.72,0.57,-303437,1
PJT001,2022-03-31,1401673,1833489,723918,1389020,0.39,0.52,-665101,4
PJT001,2022-04-30,1748664,1420508,1128693,1320279,0.79,0.85,-191586,3
PJT001,2022-05-31,956363,1075676,808659,753011,0.75,1.07,55648,3
PJT001,2022-06-30,1417779,1048439,1040247,1148272,0.99,0.91,-108025,2
PJT001,2022-07-31,1184105,1640194,781200,1011546,0.48,0.77,-230345,3
PJT001,2022-08-31,1388622,897675,1369231,1043073,1.53,1.31,326158,2
PJT001,2022-09-30,597577,925579,760421,563228,0.82,1.35,197192,3
PJT001,2022-10-31,956921,667617,1002266,796202,1.5,1.26,206064,4
PJT001,2022-11-30,683057,748069,360320,664476,0.48,0.54,-304155,2
PJT001,2022-12-31,888170,1121334,665567,760292,0.59,0.88,-94725,3
PJT001,2023-01-31,1320065,1036059,1683965,1231014,1.63,1.37,452951,4
PJT001,2023-02-28,1909248,2853997,1867856,1864500,0.65,1.0,3356,3
PJT001,2023-03-31,632739,503649,339263,504672,0.67,0.67,-165409,1
PJT001,2023-04-30,1083016,943685,1259537,874022,1.33,1.44,385515,1
PJT001,2023-05-31,921402,1052882,564579,866725,0.54,0.65,-302146,4
PJT001,2023-06-30,611826,970899,683897,464752,0.7,1.47,219145,1
PJT001,2023-07-31,508283,719455,541569,466961,0.75,1.16,74608,1
PJT001,2023-08-31,1656906,1116828,1303608,1217429,1.17,1.07,86179,2
PJT001,2023-09-30,1794655,2195398,1372406,1290478,0.63,1.06,81928,3
PJT001,2023-10-31,966473,894165,1047353,861386,1.17,1.22,185967,2
PJT001,2023-11-30,1830819,1963032,1090574,1673320,0.56,0.65,-582746,3
PJT001,2023-12-31,1641178,1905862,1832824,1391946,0.96,1.32,440878,1
PJT001,2024-01-31,1284099,1319465,668162,940432,0.51,0.71,-272270,2
PJT001,2024-02-29,547144,676494,411170,466479,0.61,0.88,-55309,3
PJT001,2024-03-31,1861350,1580830,1541768,1724848,0.98,0.89,-183081,3
PJT001,2024-04-30,843197,570828,617053,631020,1.08,0.98,-13968,2
PJT001,2024-05-31,1894546,2667750,1907284,1821489,0.71,1.05,85794,4
PJT001,2024-06-30,1705508,1341502,2070567,1469811,1.54,1.41,600756,3
PJT001,2024-07-31,1711160,2560052,1290904,1254307,0.5,1.03,36597,1
PJT001,2024-08-31,841903,864725,971902,806727,1.12,1.2,165175,3
PJT001,2024-09-30,510428,566957,425661,391311,0.75,1.09,34350,1
PJT001,2024-10-31,679798,637389,852690,541772,1.34,1.57,310917,2
PJT001,2024-11-30,1278186,1665501,1010922,1267366,0.61,0.8,-256444,3
PJT001,2024-12-31,1943671,1655584,1745025,1536012,1.05,1.14,209013,1
PJT001,2025-01-31,927261,590560,915810,788917,1.55,1.16,126894,1
PJT001,2025-02-28,577218,507171,708023,445537,1.4,1.59,262487,2
PJT001,2025-03-31,717342,781511,924310,554231,1.18,1.67,370080,3
PJT001,2025-04-30,1508203,2053599,1040826,1385232,0.51,0.75,-344406,3
PJT001,2025-05-31,1051675,1295985,1058851,905210,0.82,1.17,153641,2
