ProjectID,Date,BudgetAmount,ActualCost,EarnedValue,PlannedValue,CPI,SPI,ScheduleVariance,StatusID,StatusName
PJT001,2022-01-31,883441,756286,968263,650051,1.28,1.49,318213,1,On Track
PJT001,2022-02-28,1040140,1273243,1071816,963445,0.84,1.11,108371,4,Completed
PJT001,2022-03-31,1821836,2690984,985349,1669855,0.37,0.59,-684506,3,Delayed
PJT001,2022-04-30,825305,1235175,965684,583675,0.78,1.65,382009,1,On Track
PJT001,2022-05-31,1053666,1557945,572590,1003120,0.37,0.57,-430530,1,On Track
PJT001,2022-06-30,1380053,1726571,1086541,1007676,0.63,1.08,78866,2,At Risk
PJT001,2022-07-31,1705077,1564240,1927531,1629837,1.23,1.18,297694,2,At Risk
PJT001,2022-08-31,763738,751128,793361,760018,1.06,1.04,33343,1,On Track
PJT001,2022-09-30,1581975,2335859,1648975,1453930,0.71,1.13,195045,3,Delayed
PJT001,2022-10-31,1410402,1560153,1404168,1092446,0.9,1.29,311722,1,On Track
PJT001,2022-11-30,1631799,1848722,2045228,1177348,1.11,1.74,867880,2,At Risk
PJT001,2022-12-31,1979925,2199148,1476476,1653966,0.67,0.89,-177491,3,Delayed
PJT001,2023-01-31,563950,477750,428996,538312,0.9,0.8,-109315,2,At Risk
PJT001,2023-02-28,1943832,1908135,2055652,1636122,1.08,1.26,419529,1,On Track
PJT001,2023-03-31,1445901,957334,942586,1217508,0.98,0.77,-274922,2,At Risk
PJT001,2023-04-30,1779089,1796566,2076679,1641897,1.16,1.26,434782,2,At Risk
PJT001,2023-05-31,1978721,2932823,2224195,1890310,0.76,1.18,333885,1,On Track
PJT001,2023-06-30,693524,835612,854993,615244,1.02,1.39,239749,1,On Track
PJT001,2023-07-31,948109,1329372,716955,915155,0.54,0.78,-198200,1,On Track
PJT001,2023-08-31,1164211,1371114,741233,859219,0.54,0.86,-117985,1,On Track
PJT001,2023-09-30,1719170,1558951,2126830,1292219,1.36,1.65,834611,1,On Track
PJT001,2023-10-31,1288276,1224531,869583,1085858,0.71,0.8,-216274,1,On Track
PJT001,2023-11-30,1771899,2011037,1330676,1317750,0.66,1.01,12926,1,On Track
PJT001,2023-12-31,644677,657764,788964,495511,1.2,1.59,293453,1,On Track
PJT001,2024-01-31,1843251,2423955,1388273,1546222,0.57,0.9,-157949,1,On Track
PJT001,2024-02-29,556148,505160,652265,502441,1.29,1.3,149825,2,At Risk
PJT001,2024-03-31,1407385,972879,1025784,1317162,1.05,0.78,-291378,1,On Track
PJT001,2024-04-30,1494713,1990462,1537944,1297608,0.77,1.19,240336,3,Delayed
PJT001,2024-05-31,1231193,1071395,1148780,968329,1.07,1.19,180452,1,On Track
PJT001,2024-06-30,1348341,1399891,1093878,1089974,0.78,1.0,3904,1,On Track
PJT001,2024-07-31,1012436,713430,801872,882888,1.12,0.91,-81016,1,On Track
PJT001,2024-08-31,787767,1224601,770628,754024,0.63,1.02,16603,1,On Track
PJT001,2024-09-30,655451,845932,413635,640051,0.49,0.65,-226417,1,On Track
PJT001,2024-10-31,1606461,1142698,1331301,1374355,1.17,0.97,-43055,3,Delayed
PJT001,2024-11-30,1498059,1815950,908283,1217745,0.5,0.75,-309462,3,Delayed
PJT001,2024-12-31,760577,767678,971626,661919,1.27,1.47,309707,1,On Track
PJT001,2025-01-31,1200124,1650387,827868,930254,0.5,0.89,-102386,1,On Track
PJT001,2025-02-28,728300,608636,405846,522523,0.67,0.78,-116677,1,On Track
PJT001,2025-03-31,1689797,1769833,885438,1435720,0.5,0.62,-550282,1,On Track
PJT001,2025-04-30,1930141,1887918,1082332,1424386,0.57,0.76,-342054,2,At Risk
PJT001,2025-05-31,1008262,1227091,686152,1007589,0.56,0.68,-321437,1,On Track
PJT001,2025-06-30,994660,966943,505431,697900,0.52,0.72,-192469,1,On Track
PJT002,2022-01-31,810968,735949,965367,569112,1.31,1.7,396255,1,On Track
PJT002,2022-02-28,508429,463105,644192,424771,1.39,1.52,219421,1,On Track
PJT002,2022-03-31,1973105,2912822,1757971,1707641,0.6,1.03,50331,3,Delayed
PJT002,2022-04-30,1712021,2168163,2018836,1506467,0.93,1.34,512369,1,On Track
PJT002,2022-05-31,694949,654404,387660,675043,0.59,0.57,-287383,1,On Track
PJT002,2022-06-30,771240,916570,437117,673195,0.48,0.65,-236079,1,On Track
PJT002,2022-07-31,1563868,2078627,1610827,1490143,0.77,1.08,120684,4,Completed
PJT002,2022-08-31,1392925,1076914,1567021,1194589,1.46,1.31,372432,1,On Track
PJT002,2022-09-30,1399669,1965066,1000327,1249988,0.51,0.8,-249661,1,On Track
PJT002,2022-10-31,906493,557016,929552,796606,1.67,1.17,132946,2,At Risk
PJT002,2022-11-30,1129673,1787676,1078739,1065316,0.6,1.01,13423,2,At Risk
PJT002,2022-12-31,1325906,1158205,1018804,1131919,0.88,0.9,-113115,1,On Track
PJT002,2023-01-31,1558438,1121928,1478702,1531954,1.32,0.97,-53252,1,On Track
PJT002,2023-02-28,1702154,1896683,1489562,1384778,0.79,1.08,104784,1,On Track
PJT002,2023-03-31,1100559,1735757,883062,909946,0.51,0.97,-26884,1,On Track
PJT002,2023-04-30,1569627,1431438,973717,1455491,0.68,0.67,-481774,2,At Risk
PJT002,2023-05-31,1672688,1330807,1004716,1669364,0.75,0.6,-664648,1,On Track
PJT002,2023-06-30,1773597,1750523,953530,1646782,0.54,0.58,-693252,1,On Track
PJT002,2023-07-31,1868498,1326142,1608204,1574192,1.21,1.02,34012,2,At Risk
PJT002,2023-08-31,1135315,927657,1091402,987050,1.18,1.11,104352,2,At Risk
PJT002,2023-09-30,513949,689735,660545,465265,0.96,1.42,195280,1,On Track
PJT002,2023-10-31,1055790,1676693,1061017,833505,0.63,1.27,227512,4,Completed
PJT002,2023-11-30,639835,625562,796825,609715,1.27,1.31,187110,1,On Track
PJT002,2023-12-31,580404,496916,622319,423312,1.25,1.47,199007,1,On Track
PJT002,2024-01-31,1534992,953388,1213212,1349790,1.27,0.9,-136578,1,On Track
PJT002,2024-02-29,1278029,1263447,1305081,1196117,1.03,1.09,108964,3,Delayed
PJT002,2024-03-31,885485,1128706,923813,722962,0.82,1.28,200851,3,Delayed
PJT002,2024-04-30,1666718,1144413,2121064,1445042,1.85,1.47,676021,1,On Track
PJT002,2024-05-31,680545,626977,392126,554285,0.63,0.71,-162158,1,On Track
PJT002,2024-06-30,1339404,1049498,1264837,1110580,1.21,1.14,154256,1,On Track
PJT002,2024-07-31,866060,937837,522710,691043,0.56,0.76,-168332,2,At Risk
PJT002,2024-08-31,1566831,2383023,1473015,1207179,0.62,1.22,265835,1,On Track
PJT002,2024-09-30,1025092,655108,936765,886909,1.43,1.06,49856,4,Completed
PJT002,2024-10-31,1672921,2197489,1548854,1262556,0.7,1.23,286298,1,On Track
PJT002,2024-11-30,1503382,1996828,1619046,1192998,0.81,1.36,426049,3,Delayed
PJT002,2024-12-31,1112089,1297916,1353116,928968,1.04,1.46,424147,2,At Risk
PJT002,2025-01-31,1353248,1403095,1232052,966119,0.88,1.28,265934,1,On Track
PJT002,2025-02-28,1426441,1480789,1184665,1026750,0.8,1.15,157915,3,Delayed
PJT002,2025-03-31,1597328,1107542,978365,1446940,0.88,0.68,-468575,1,On Track
PJT002,2025-04-30,797992,704483,760790,719365,1.08,1.06,41425,3,Delayed
PJT002,2025-05-31,1343700,1791424,1657347,1333060,0.93,1.24,324287,1,On Track
PJT002,2025-06-30,553738,678108,477940,387993,0.7,1.23,89947,1,On Track
PJT003,2022-01-31,1708333,2600137,1679599,1593022,0.65,1.05,86577,2,At Risk
PJT003,2022-02-28,949821,674551,1119691,853270,1.66,1.31,266421,2,At Risk
PJT003,2022-03-31,1384968,1562502,1726033,1186297,1.1,1.45,539736,1,On Track
PJT003,2022-04-30,976489,1044957,837542,952994,0.8,0.88,-115452,1,On Track
PJT003,2022-05-31,1841438,2538933,2231658,1456198,0.88,1.53,775460,1,On Track
